통계명 : 장래인구 출  처 : 통계청 2000~2012, 단위 : 천명,,,,,,,,,,,,,
대륙,국가,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 
유럽,아이슬란드,281 ,284 ,287 ,290 ,293 ,297 ,301 ,306 ,311 ,316 ,320 ,324 ,328 
유럽,아일랜드,3804 ,3866 ,3936 ,4011 ,4086 ,4158 ,4226 ,4291 ,4353 ,4412 ,4470 ,4526 ,4579 
유럽,이탈리아,56986 ,57199 ,57499 ,57864 ,58264 ,58671 ,59082 ,59495 ,59891 ,60249 ,60551 ,60789 ,60964 
유럽,라트비아,2385 ,2367 ,2350 ,2334 ,2319 ,2306 ,2293 ,2282 ,2271 ,2261 ,2252 ,2243 ,2235 
유럽,리투아니아,3500 ,3480 ,3462 ,3447 ,3432 ,3416 ,3398 ,3379 ,3360 ,3341 ,3324 ,3307 ,3292 
유럽,룩셈부르크,435 ,440 ,443 ,446 ,451 ,457 ,466 ,476 ,487 ,498 ,507 ,516 ,523 
유럽,마케도니아,2009 ,2016 ,2022 ,2028 ,2033 ,2038 ,2043 ,2048 ,2053 ,2057 ,2061 ,2064 ,2067 
유럽,몰타,397 ,400 ,402 ,405 ,407 ,409 ,411 ,413 ,414 ,415 ,417 ,418 ,419 
유럽,몰도바,4107 ,4040 ,3969 ,3896 ,3828 ,3767 ,3715 ,3672 ,3635 ,3603 ,3573 ,3545 ,3519 
유럽,네덜란드,15863 ,15953 ,16046 ,16138 ,16225 ,16305 ,16378 ,16443 ,16503 ,16559 ,16613 ,16665 ,16714 
유럽,노르웨이,4491 ,4514 ,4536 ,4559 ,4587 ,4623 ,4669 ,4722 ,4779 ,4834 ,4883 ,4925 ,4960 
유럽,폴란드,38302 ,38267 ,38230 ,38198 ,38175 ,38165 ,38170 ,38190 ,38218 ,38249 ,38277 ,38299 ,38317 
유럽,포르투갈,10336 ,10380 ,10423 ,10466 ,10506 ,10544 ,10578 ,10608 ,10635 ,10657 ,10676 ,10690 ,10699 
유럽,루마니아,22192 ,22100 ,22011 ,21925 ,21845 ,21772 ,21705 ,21645 ,21590 ,21537 ,21486 ,21436 ,21388 
